Country,Time_Interval,Total_Papers,Diversity,ECI,ECI+,GDP,Nestedness_NODF,Modularity_Q
Bhutan,1988-1992,6.666666666666666,0.12945873638807026,,,272086639.54,0.2608418555255483,0.2757009991570048
Bhutan,1993-1997,7.833333333333333,0.22092068219415673,,,298295991.88,0.24557021014643515,0.27107123843861186
Bhutan,1998-2002,9.2,0.2138392710804793,,,440549810.58000004,0.27282079664694203,0.2625174188578835
Bhutan,2003-2007,28.401190476190468,0.2770694445284738,,,825360469.54,0.2596958358994229,0.23727412551345609
Bhutan,2008-2012,46.24136321195141,0.3601311931315977,,,1513639400.0,0.28717402025853084,0.2308756681103245
Bhutan,2013-2017,105.73403078122013,0.5126219322546697,,,2055248349.6,0.2709120283792509,0.22884322635683815
Bolivia,1973-1977,43.64285714285713,0.5173593200409412,-0.9639656000000001,-1.874128,2345467266.4,0.27520515347294855,0.22901721117518653
Bolivia,1978-1982,55.474999999999966,0.4126044404913689,-0.9662668,-1.22751,4833345699.4,0.2891861082862083,0.22422940460866872
Bolivia,1983-1987,73.7373015873015,0.5417254600234069,-0.9224322,-1.078862,5050236382.4,0.26408051080252964,0.21552684594487367
Bolivia,1988-1992,89.75119047619043,0.436443583131081,-0.8878389999999999,-0.8352617999999999,5033668942.0,0.2608418555255483,0.2757009991570048
Bolivia,1993-1997,156.77128237259797,0.4487003100770939,-0.8036996000000001,-0.7680694,6750756412.0,0.24557021014643515,0.27107123843861186
Bolivia,1998-2002,198.37946719946694,0.46504561161694613,-0.7862698,-0.6034538,8245511426.6,0.27282079664694203,0.2625174188578835
Bolivia,2003-2007,292.5627289498203,0.33844039087732625,-0.8593301999999999,-0.8742557999999999,10195389359.6,0.2596958358994229,0.23727412551345609
Bolivia,2008-2012,387.9882548149347,0.44285586664386056,-0.8475227999999999,-0.8100786,20942295875.6,0.28717402025853084,0.2308756681103245
Bolivia,2013-2017,397.66595318556944,0.49625222583127704,-1.109664,-1.2063333333333333,33621098697.4,0.2709120283792509,0.22884322635683815
Bosnia & Herzegovina,1973-1977,0.333333333333333,0.0714285714285714,,,,0.27520515347294855,0.22901721117518653
Bosnia & Herzegovina,1988-1992,9.7,0.2035383569551089,,,,0.2608418555255483,0.2757009991570048
Bosnia & Herzegovina,1993-1997,74.39999999999998,0.4536201875722127,,,,0.24557021014643515,0.27107123843861186
Bosnia & Herzegovina,1998-2002,99.67182539682534,0.5001616601735681,,,,0.27282079664694203,0.2625174188578835
Bosnia & Herzegovina,2003-2007,368.56698579198513,0.6144719744892084,,,,0.2596958358994229,0.23727412551345609
Bosnia & Herzegovina,2008-2012,1418.5756869813665,0.5698401709763347,,,,0.28717402025853084,0.2308756681103245
Bosnia & Herzegovina,2013-2017,1160.7928268995138,0.7152098773593303,,,,0.2709120283792509,0.22884322635683815
Botswana,1973-1977,30.333333333333332,0.36593554171835707,,,345789759.04,0.27520515347294855,0.22901721117518653
Botswana,1978-1982,76.58333333333333,0.25249070941611396,,,911989340.8399999,0.2891861082862083,0.22422940460866872
Botswana,1983-1987,88.73333333333332,0.4864949578012877,,,1377145641.6,0.26408051080252964,0.21552684594487367
Botswana,1988-1992,106.31111111111107,0.3399320281329613,,,3521642220.0,0.2608418555255483,0.2757009991570048
Botswana,1993-1997,242.51507936507932,0.4256778762886969,,,4603599181.8,0.24557021014643515,0.27107123843861186
Botswana,1998-2002,404.76351487654773,0.4649507222518925,-0.6414973333333333,-1.2457399999999998,5398302254.0,0.27282079664694203,0.2625174188578835
Botswana,2003-2007,515.7168932718599,0.5246546247227148,-0.8239836,-1.6758020000000002,9493235739.8,0.2596958358994229,0.23727412551345609
Botswana,2008-2012,555.231137254934,0.5794101674306456,-0.22435940000000004,-0.7188568,12754244756.0,0.28717402025853084,0.2308756681103245
Botswana,2013-2017,613.354119883177,0.6429709836458876,-0.6825749999999999,-1.0996350000000001,15724992133.2,0.2709120283792509,0.22884322635683815
Brazil,1973-1977,4725.480984701568,0.7022945558451018,-0.2993996,0.3802624,127394611546.2,0.27520515347294855,0.22901721117518653
Brazil,1978-1982,8592.602353550103,0.7360466209893508,0.0366624,0.6123608,241207600000.0,0.2891861082862083,0.22422940460866872
Brazil,1983-1987,11363.750375033444,0.6408106206492783,0.3110976,0.7353522,239498600000.0,0.26408051080252964,0.21552684594487367
Brazil,1988-1992,15951.356294957366,0.6573573472441003,0.4028632,0.680839,444280600000.0,0.2608418555255483,0.2757009991570048
Brazil,1993-1997,23731.210806208517,0.6671993775177059,0.5363758,0.6122004000000001,699768400000.0,0.24557021014643515,0.27107123843861186
Brazil,1998-2002,44700.236958902606,0.6839522964695943,0.5659536000000001,0.6216292,637173400000.0,0.27282079664694203,0.2625174188578835
Brazil,2003-2007,76658.74017168225,0.6439840245599263,0.45960840000000003,0.5383668,924797400000.0,0.2596958358994229,0.23727412551345609
Brazil,2008-2012,144897.62629561822,0.6449466670115114,0.252527,0.5277962,2130620000000.0,0.28717402025853084,0.2308756681103245
Brazil,2013-2017,176705.29180087213,0.6667699424218707,0.3667282,0.362352,2117908000000.0,0.2709120283792509,0.22884322635683815
Brunei,1973-1977,5.0,0.1416858637545071,,,,0.27520515347294855,0.22901721117518653
Brunei,1978-1982,11.5,0.0885463102776427,,,,0.2891861082862083,0.22422940460866872
Brunei,1983-1987,14.166666666666666,0.33395849741457917,,,,0.26408051080252964,0.21552684594487367
Brunei,1988-1992,34.33333333333333,0.27910910661483357,,,,0.2608418555255483,0.2757009991570048
Brunei,1993-1997,66.29999999999998,0.505827826323162,,,,0.24557021014643515,0.27107123843861186
Brunei,1998-2002,115.69999999999995,0.4755525911078189,,,,0.27282079664694203,0.2625174188578835
Brunei,2003-2007,105.58382352941172,0.48990034480845146,,,,0.2596958358994229,0.23727412551345609
Brunei,2008-2012,169.1640286377708,0.5263971809462927,,,,0.28717402025853084,0.2308756681103245
Brunei,2013-2017,391.13265271006287,0.7071729409180789,,,,0.2709120283792509,0.22884322635683815
Bulgaria,1973-1977,4368.6279968397575,0.4096658435910425,0.7264092,0.7810042,,0.27520515347294855,0.22901721117518653
Bulgaria,1978-1982,5140.627137976397,0.4190486445854794,0.6729035999999999,0.61126,19683743589.666668,0.2891861082862083,0.22422940460866872
Bulgaria,1983-1987,6082.62487316604,0.4699807945549094,0.6542298,0.7235958,19932865256.4,0.26408051080252964,0.21552684594487367
Bulgaria,1988-1992,7017.9356154796615,0.5302350613192905,0.5544005999999999,0.6944231999999999,17294108076.0,0.2608418555255483,0.2757009991570048
Bulgaria,1993-1997,5998.341933516212,0.5739885548228303,0.3898492,0.509732,12624127650.0,0.24557021014643515,0.27107123843861186
Bulgaria,1998-2002,5589.278000948159,0.5771886514813791,0.4209364,0.4832498,14498039360.4,0.27282079664694203,0.2625174188578835
Bulgaria,2003-2007,5907.424107684771,0.547574301924489,0.36044160000000003,0.43580680000000005,31191414409.6,0.2596958358994229,0.23727412551345609
Bulgaria,2008-2012,7621.89894499987,0.533651582191172,0.4511244,0.5091096,53635770413.6,0.28717402025853084,0.2308756681103245
