Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Reunion,0.08829966349287788,0.2142302363214582,0.18364961189203832,0.4484385861034673,0.3385703732689762,0.4634533437720342,0.4000583483955682,0.48901513849282563,0.43261096158168744
Romania,0.44167510230301155,0.4220816019660776,0.3943733521536059,0.3844896310929097,0.3870322057543325,0.372581203396083,0.4648112547316995,0.5743968801748205,0.6479511738819603
Russia,0.4224044307691175,0.45320754776393,0.475634749510946,0.5097740354733873,0.5203083460928424,0.4946743765898821,0.5005126633472523,0.4835641141248759,0.48843332286315955
Rwanda,0.1441133150172218,0.18864390931007813,0.2298391257081891,0.23812170663265686,0.24111461314402882,0.30190375999152563,0.36406931298550593,0.46300158539811165,0.4992378946817452
Saint-Vincent-et-les-Grenadines,0.0714285714285714,,,,0.1295824142827886,0.12811023995429582,0.08808887591251413,0.19337743596318813,0.39095760168365723
Samoa,0.0918555554133269,0.08816532866152649,0.1822424518299922,0.1657601084946636,0.21849442810061614,0.17086906729807316,0.26234809871452647,0.15844354156708584,0.32727916082260344
San Marino,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.14002915946337002,0.08935774244943084,0.1017362782047927,0.18705217966676757,0.36415078337537865,0.1968153833848405
Sao Tome & Principe,,,,,0.0714285714285714,0.1533317382234599,0.17986017086739758,0.14708451246634902,0.18118586286376426
Saudi Arabia,0.4256102864034378,0.5192315775756028,0.5367250589114334,0.5273940990383412,0.560879101684021,0.5249462883934812,0.5138616835502661,0.5421889605994572,0.5901117798766893
Senegal,0.5833007191548927,0.5016802044569446,0.3810386119714152,0.2535515555796548,0.5365082915801704,0.4303875259705484,0.5857625402746809,0.6144400489164046,0.5587666539933293
Senegambia,,0.4725562120363046,0.564361614153086,0.46355898451377653,0.5138422258495015,,,,
Serbia and Montenegro,,,,0.0714285714285714,,0.18146927374225164,0.5496584523464503,,
Seychelles,0.09648760604882667,0.19208590800051195,0.16565699600786188,0.2148410457482155,0.1732820791450801,0.2005422579759567,0.18506707832337244,0.312660779398815,0.2568154793993107
Sierra Leone,0.3379421908785112,0.31714802763218997,0.3805021340959923,0.4196027680593637,0.3336118314693891,0.2550625720220998,0.2652576355622568,0.4191856637740775,0.30738057471748426
Singapore,0.5923559082366292,0.522510808563492,0.6528702684969288,0.6548188191302959,0.5743017268733339,0.5913543498342373,0.623302417073021,0.6815555023661483,0.7436343222101802
Slovakia,0.0714285714285714,,0.0714285714285714,0.28223215268769375,0.6097834052975286,0.6456812228913713,0.6546481696990335,0.7114744118674564,0.7366681818659088
Slovenia,,,0.0714285714285714,0.2792843001560543,0.6462452647938322,0.6688562425248821,0.7536213592608441,0.6923487059387201,0.6926812700338822
Solomon Islands,0.16502976215296428,0.22591326521240085,0.25145826234059476,0.2607748985689754,0.15278156356879147,0.15969925704934929,0.35116638821959256,0.36311409569034303,0.3805207856646946
Somalia,0.16261255665180008,0.22523972343901144,0.33310841305293926,0.22635144647229433,0.18999541561235078,0.10877145878093641,0.1096860764123957,0.2029423574986463,0.21612251803545068
South Africa,0.6713644304822574,0.6573923644503409,0.6777369926432621,0.673932958105707,0.6982600953834583,0.7226277322865541,0.690319833831611,0.692081833225362,0.697798909663319
