Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Bulgaria,0.2625146575032395,0.2872052106568819,3.8832775439020693,1.1336309252293322,0.4385359784989705,0.3664498441327016,0.4938591206422286,0.04411263251991484,0.4534733326703648,0.351208057577005,0.7039828261446947,0.029738682236537337,0.08033646098667382,0.13696332907466044
Burkina Faso,0.0,2.9024432427565103,0.19931953130388871,0.0,2.1108816548493117,0.0,0.0,0.0,0.0,2.589713515234457,0.0,1.1009935576920187,1.189695297062401,1.3829164112540948
Burma,0.0,3.4958125565863183,0.5699005368127344,0.086887804948267,1.8968707301499732,0.8504968049668282,0.4354649255077538,2.964795099089293,0.0,0.0,0.20390663284743363,0.7495225373518745,0.0,0.0
Burundi,0.0,2.9272504499595566,1.5679803129239247,0.0,1.6605602351481255,0.0,0.0,0.0,0.0,0.0,0.9817726766728281,0.0,0.0,0.0
Byelarus,0.0,0.0,0.0,3.7651382144249017,0.0,0.0,0.0,0.0,0.0,0.0,4.417977045027726,0.0,0.0,0.0
Cambodia,0.0,5.645411582064859,0.0,0.0,2.1350060166190183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,0.0,1.5361664168883988,0.7531334010327023,0.5366572122925034,1.830610317537563,0.4477023997638798,0.0,1.2485369707859033,0.0,0.7424348756017158,0.38641198644557423,0.9469186574902211,0.0,2.6430861115643562
Canada,1.1703190140607536,1.7085754234368482,0.8426787993856051,0.7647156562773402,0.7703850567976896,1.4293259711446138,1.0677190789161686,1.2022931415662685,1.9039681366729853,1.3309364915180615,0.8089764386862882,1.1559306350622147,1.491877925109163,1.3788381232663556
Central African Republic,0.0,5.942538507436694,1.1671432404471311,0.339711718594728,0.5899358730131499,2.4939379995267896,0.0,0.0,0.0,3.446460843582698,0.0,0.0,0.0,0.0
Chad,0.0,9.855315084582665,0.4830452797760746,0.0,0.3288640074498733,1.0137339668003147,0.0,0.0,0.0,1.120731765761611,0.0,0.0,0.0,0.7979664377896488
Chile,0.0,0.8169601005712284,0.9124308379200858,0.42349974090195125,1.9374176681569524,2.8941699483368364,0.2296777108118896,0.21216368123676746,0.21540946740042824,0.24531468070306803,0.3546608605379116,0.40376423260194316,0.6954938072895414,0.7086418274389032
China,0.0,2.4935603783172926,2.420257259824553,0.12410817906468723,0.9486553837079356,3.058759632134961,0.05331482263673441,0.1814928316877619,0.5528081995413819,0.3237708079206237,0.1269038302519165,0.5735344398655651,0.0,0.7940353130215658
Colombia,0.9466580398278535,3.0527178482130117,0.9362646075870603,0.11188656215221145,1.2965652122882596,0.19051844520852956,0.15316888295680894,0.583275825346718,0.24226325623551653,0.33107588482556993,0.18234252528076803,0.583123522600307,4.780091508895324,1.6096829679387508
Congo,0.0,1.2747703572404525,0.749216399522117,1.0020125893227565,1.488980170528485,0.48297701626140443,0.4058096080000572,0.0,1.577902267561916,1.411898581474431,0.07125769427464078,0.26192991896705287,1.1321293955916398,2.6685577882040263
Cook Islands,0.0,0.0,0.0,0.0,3.736260529083282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,6.31197239419758,0.40781664257675887,0.038903591495510786,0.8348376771474435,0.3570054396050621,0.12186081221829298,0.0,1.1371901392309325,0.19734336118673942,0.08559206415940064,0.2516962992721826,1.0425679806998243,3.705936154063553
Croatia,0.0,0.0,0.0,3.7651382144249017,0.0,0.0,6.290048924000885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
