discipline,Time_Interval,Papers
General Engineering,1988-1992,3488.0
General Mathematics,1988-1992,48580.0
General Physics,1988-1992,120492.0
General Psychology,1988-1992,6353.0
General Social Sciences,1988-1992,7454.0
General Zoology,1988-1992,14731.0
Genetics & Heredity,1988-1992,41063.0
Geography,1988-1992,6991.0
Geology,1988-1992,26241.0
Geriatrics,1988-1992,4392.0
Geriatrics & Gerontology,1988-1992,2827.0
Health Policy & Services,1988-1992,4598.0
Hematology,1988-1992,20559.0
History,1988-1992,15368.0
Human Factors,1988-1992,2509.0
Immunology,1988-1992,72895.0
Industrial Engineering,1988-1992,1999.0
Information Science & Library Science,1988-1992,8915.0
Inorganic & Nuclear Chemistry,1988-1992,28888.0
International Relations,1988-1992,4521.0
Language & Linguistics,1988-1992,9790.0
Law,1988-1992,9806.0
Literature,1988-1992,18996.0
Management,1988-1992,25940.0
Marine Biology & Hydrobiology,1988-1992,27788.0
Materials Science,1988-1992,45190.0
Mechanical Engineering,1988-1992,27319.0
Metals & Metallurgy,1988-1992,33622.0
Meteorology & Atmospheric Science,1988-1992,10474.0
Microbiology,1988-1992,39389.0
Microscopy,1988-1992,4124.0
Miscellaneous Biology,1988-1992,3470.0
Miscellaneous Biomedical Research,1988-1992,9030.0
Miscellaneous Clinical Medicine,1988-1992,8081.0
Miscellaneous Engineering & Technology,1988-1992,7269.0
Miscellaneous Humanities,1988-1992,7619.0
Miscellaneous Mathematics,1988-1992,4964.0
Miscellaneous Physics,1988-1992,1866.0
Miscellaneous Professional Field,1988-1992,2322.0
Miscellaneous Psychology,1988-1992,11762.0
Miscellaneous Social Sciences,1988-1992,7461.0
Miscellaneous Zoology,1988-1992,9210.0
Nephrology,1988-1992,8650.0
Neurology & Neurosurgery,1988-1992,92922.0
Nuclear & Particle Physics,1988-1992,52338.0
Nuclear Technology,1988-1992,15309.0
Nursing,1988-1992,2986.0
Nutrition & Dietetic,1988-1992,14790.0
Obstetrics & Gynecology,1988-1992,20495.0
Oceanography & Limnology,1988-1992,10162.0
Operations Research,1988-1992,3190.0
Ophthalmology,1988-1992,19615.0
Optics,1988-1992,27256.0
Organic Chemistry,1988-1992,55477.0
Orthopedics,1988-1992,14568.0
Otorhinolaryngology,1988-1992,13671.0
Parasitology,1988-1992,9494.0
Pathology,1988-1992,20052.0
Pediatrics,1988-1992,20952.0
Performing Arts,1988-1992,4434.0
Pharmacology,1988-1992,93754.0
Pharmacy,1988-1992,13493.0
Philosophy,1988-1992,7709.0
Physical Chemistry,1988-1992,90434.0
Physiology,1988-1992,31756.0
Planning & Urban Studies,1988-1992,1922.0
Political Science and Public Administration,1988-1992,6950.0
Polymers,1988-1992,34105.0
Probability & Statistics,1988-1992,16778.0
Psychiatry,1988-1992,21368.0
Psychoanalysis,1988-1992,1948.0
Public Health,1988-1992,5861.0
Radiology & Nuclear Medicine,1988-1992,37976.0
Rehabilitation,1988-1992,4111.0
Religion,1988-1992,5448.0
Respiratory System,1988-1992,12861.0
Science studies,1988-1992,2302.0
Social Psychology,1988-1992,8279.0
"Social Sciences, Biomedical",1988-1992,2471.0
Social Studies of Medicine,1988-1992,213.0
Social Work,1988-1992,2841.0
Sociology,1988-1992,9372.0
Solid State Physics,1988-1992,53050.0
Speech-Language Pathology and Audiology,1988-1992,2918.0
Surgery,1988-1992,49364.0
Tropical Medicine,1988-1992,8161.0
Urology,1988-1992,14403.0
Veterinary Medicine,1988-1992,38086.0
Virology,1988-1992,16066.0
Acoustics,1993-1997,11298.0
Addictive Diseases,1993-1997,7829.0
Aerospace Technology,1993-1997,13442.0
Agricult & Food Science,1993-1997,67165.0
Allergy,1993-1997,5548.0
Analytical Chemistry,1993-1997,51055.0
Anatomy & Morphology,1993-1997,3970.0
Anesthesiology,1993-1997,14080.0
Anthropology and Archaeology,1993-1997,8299.0
Applied Chemistry,1993-1997,9244.0
Applied Mathematics,1993-1997,28313.0
Applied Physics,1993-1997,121377.0
Area Studies,1993-1997,6870.0
Arthritis & Rheumatology,1993-1997,11117.0
Astronomy & Astrophysics,1993-1997,52903.0
Behavioral Science & Complementary Psychology,1993-1997,11144.0
Biochemistry & Molecular Biology,1993-1997,200909.0
Biomedical Engineering,1993-1997,19348.0
Biophysics,1993-1997,8491.0
Botany,1993-1997,81018.0
Cancer,1993-1997,71418.0
Cardiovascular System,1993-1997,55804.0
Cellular Biology Cytology & Histology,1993-1997,32828.0
Chemical Engineering,1993-1997,34717.0
Chemical Physics,1993-1997,52109.0
Civil Engineering,1993-1997,12292.0
Clinical Psychology,1993-1997,9526.0
Communication,1993-1997,2766.0
Computers,1993-1997,60777.0
Criminology,1993-1997,2580.0
Dairy & Animal Science,1993-1997,17405.0
Demography,1993-1997,2372.0
Dentistry,1993-1997,18788.0
Dermatology & Venerial Disease,1993-1997,21646.0
Developmental & Child Psychology,1993-1997,9312.0
Earth & planetary Science,1993-1997,47257.0
Ecology,1993-1997,22326.0
Economics,1993-1997,34237.0
Education,1993-1997,17183.0
Electrical Engineering & Electronics,1993-1997,88365.0
Embryology,1993-1997,5899.0
Endocrinology,1993-1997,39849.0
Entomology,1993-1997,21053.0
Environmental & Occupational Health,1993-1997,15770.0
Environmental Science,1993-1997,43507.0
Experimental Psychology,1993-1997,10570.0
Fertility,1993-1997,11672.0
Fine Arts & Architecture,1993-1997,6545.0
Fluids & Plasmas,1993-1997,13866.0
Gastroenterology,1993-1997,29110.0
General & Internal Medicine,1993-1997,100915.0
General Biology,1993-1997,7772.0
General Biomedical Research,1993-1997,70530.0
General Chemistry,1993-1997,99597.0
General Engineering,1993-1997,3024.0
General Mathematics,1993-1997,58464.0
General Physics,1993-1997,158671.0
General Psychology,1993-1997,7750.0
General Social Sciences,1993-1997,7825.0
General Zoology,1993-1997,14937.0
